department,grade,category,category_kor,expected_count,actual_count,missing_count,extra_count,missing_codes,extra_codes,status,api_status,http_code
글로벌통상학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
글로벌통상학과,4,MAJOR_BASIC,전기,15,15,0,0,,,PASS,OK,200
글로벌통상학과,4,MAJOR_ELECTIVE,전선,39,39,0,0,,,PASS,OK,200
글로벌통상학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
글로벌통상학과,5,MAJOR_BASIC,전기,10,10,0,0,,,PASS,OK,200
글로벌통상학과,5,MAJOR_ELECTIVE,전선,19,19,0,0,,,PASS,OK,200
금융경제학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
금융경제학과,1,MAJOR_BASIC,전기,3,3,0,0,,,PASS,OK,200
금융경제학과,1,MAJOR_ELECTIVE,전선,2,2,0,0,,,PASS,OK,200
금융경제학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
금융경제학과,2,MAJOR_BASIC,전기,3,3,0,0,,,PASS,OK,200
금융경제학과,2,MAJOR_ELECTIVE,전선,8,8,0,0,,,PASS,OK,200
금융경제학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
금융경제학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
금융경제학과,3,MAJOR_ELECTIVE,전선,16,16,0,0,,,PASS,OK,200
금융경제학과,4,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
금융경제학과,4,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
금융경제학과,4,MAJOR_ELECTIVE,전선,19,19,0,0,,,PASS,OK,200
금융경제학과,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
금융경제학과,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
금융경제학과,5,MAJOR_ELECTIVE,전선,1,1,0,0,,,PASS,OK,200
금융학부,1,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
금융학부,1,MAJOR_BASIC,전기,5,5,0,0,,,PASS,OK,200
금융학부,1,MAJOR_ELECTIVE,전선,3,3,0,0,,,PASS,OK,200
금융학부,2,MAJOR_REQUIRED,전필,11,11,0,0,,,PASS,OK,200
금융학부,2,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
금융학부,2,MAJOR_ELECTIVE,전선,11,11,0,0,,,PASS,OK,200
금융학부,3,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
금융학부,3,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
금융학부,3,MAJOR_ELECTIVE,전선,24,24,0,0,,,PASS,OK,200
금융학부,4,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
금융학부,4,MAJOR_BASIC,전기,2,2,0,0,,,PASS,OK,200
금융학부,4,MAJOR_ELECTIVE,전선,27,27,0,0,,,PASS,OK,200
금융학부,5,MAJOR_REQUIRED,전필,1,1,0,0,,,PASS,OK,200
금융학부,5,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
금융학부,5,MAJOR_ELECTIVE,전선,3,3,0,0,,,PASS,OK,200
기계공학부,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
기계공학부,1,MAJOR_BASIC,전기,13,13,0,0,,,PASS,OK,200
기계공학부,1,MAJOR_ELECTIVE,전선,4,4,0,0,,,PASS,OK,200
기계공학부,2,MAJOR_REQUIRED,전필,13,13,0,0,,,PASS,OK,200
기계공학부,2,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
기계공학부,2,MAJOR_ELECTIVE,전선,13,13,0,0,,,PASS,OK,200
기계공학부,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
기계공학부,3,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
기계공학부,3,MAJOR_ELECTIVE,전선,29,29,0,0,,,PASS,OK,200
기계공학부,4,MAJOR_REQUIRED,전필,3,3,0,0,,,PASS,OK,200
기계공학부,4,MAJOR_BASIC,전기,6,6,0,0,,,PASS,OK,200
기계공학부,4,MAJOR_ELECTIVE,전선,23,23,0,0,,,PASS,OK,200
기계공학부,5,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
기계공학부,5,MAJOR_BASIC,전기,4,4,0,0,,,PASS,OK,200
기계공학부,5,MAJOR_ELECTIVE,전선,4,4,0,0,,,PASS,OK,200
기독교학과,1,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
기독교학과,1,MAJOR_BASIC,전기,3,3,0,0,,,PASS,OK,200
기독교학과,1,MAJOR_ELECTIVE,전선,9,9,0,0,,,PASS,OK,200
기독교학과,2,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
기독교학과,2,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
기독교학과,2,MAJOR_ELECTIVE,전선,18,18,0,0,,,PASS,OK,200
기독교학과,3,MAJOR_REQUIRED,전필,0,0,0,0,,,PASS,OK,200
기독교학과,3,MAJOR_BASIC,전기,1,1,0,0,,,PASS,OK,200
