issue,track_type,completion_type,course_code,course_name,major_department,detail
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150579502,미디어심리학,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150619201,영상제작연출론1,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150619202,영상제작연출론1,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150619203,영상제작연출론1,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150619401,단편영상의창의적연출,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150619402,단편영상의창의적연출,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150619403,단편영상의창의적연출,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150811102,탐사보도론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150811202,PR매니지먼트,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150820502,연구조사방법론,언론홍보학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150120802,국어문법론,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150121002,국어음운론,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150222802,현대소설론,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150301502,문학이란무엇인가,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150461302,현대소설강독,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150517202,국어연구의기초,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150517302,전공한문의기초,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150529102,"문학,놀이,상상력",국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,ELECTIVE,2150569402,세계문학과한국문학,국어국문학과,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150107606,경영정보시스템,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150107607,경영정보시스템,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150191206,재무관리,경영학부,student_type=GENERAL target 없음
NO_GENERAL_TARGET,DOUBLE_MAJOR,REQUIRED,2150191207,재무관리,경영학부,student_type=GENERAL target 없음
